Symbol,Name,Price,Change,% Change,Volume,Avg Vol(3 months),Market Cap
ADBE,Adobe Inc.,476.00,-21.67,-4.35%,8.472M,2.954M,228.321B
LYFT,"Lyft, Inc.",30.70,+0.47,+1.55%,8.443M,8.886M,9.581B
CLF,Cleveland-Cliffs Inc.,6.38,-0.04,-0.62%,8.368M,9.33M,2.547B
KSS,Kohl's Corporation,23.82,+0.69,+2.98%,8.775M,9.067M,3.758B
AMAT,"Applied Materials, Inc.",56.47,-0.73,-1.28%,8.341M,7.644M,51.573B
MDLA,"Medallia, Inc.",27.44,-1.71,-5.87%,8.316M,1.705M,4.036B
HPQ,HP Inc.,19.41,+0.15,+0.78%,9.411M,11.806M,26.66B
RF,Regions Financial Corporation,12.09,+0.11,+0.92%,7.938M,9.101M,11.608B
BYND,"Beyond Meat, Inc.",156.57,+10.09,+6.89%,8.254M,5.06M,9.777B
EPD,Enterprise Products Partners L.P.,17.02,+0.24,+1.43%,7.853M,7.243M,37.204B
PENN,"Penn National Gaming, Inc.",67.84,-0.39,-0.57%,8.048M,9.531M,9.962B
ROKU,"Roku, Inc.",169.99,+1.47,+0.87%,8.092M,9.457M,21.199B
HL,Hecla Mining Company,5.78,-0.02,-0.34%,7.796M,11.828M,3.115B
VIAC,ViacomCBS Inc.,30.68,+0.55,+1.83%,8.935M,9.771M,19.037B
BSX,Boston Scientific Corporation,40.19,-0.83,-2.02%,8.362M,8.655M,57.499B
GILD,"Gilead Sciences, Inc.",65.65,-0.55,-0.83%,7.571M,8.73M,82.307B
KEY,KeyCorp,12.71,+0.18,+1.44%,7.252M,9.622M,12.405B
SAN,"Banco Santander, S.A.",2.1200,0.0000,0.00%,7.598M,8.135M,35.355B
JD,"JD.com, Inc.",75.09,-1.91,-2.48%,7.941M,13.083M,119.751B
OSTK,"Overstock.com, Inc.",74.48,+1.15,+1.57%,7.39M,6.717M,3.184B
FISV,"Fiserv, Inc.",102.26,+1.67,+1.66%,7.781M,4.877M,68.478B
PYPL,"PayPal Holdings, Inc.",180.91,-5.11,-2.75%,8.007M,7.699M,212.262B
CFG,"Citizens Financial Group, Inc.",27.62,+0.93,+3.48%,7.141M,5.609M,11.802B
BKR,Baker Hughes Company,15.01,+0.30,+2.04%,8.793M,6.678M,15.517B
SYF,Synchrony Financial,27.59,+1.10,+4.15%,7.208M,6.057M,16.106B
JWN,"Nordstrom, Inc.",15.07,+0.35,+2.38%,7.156M,9.317M,2.368B
