position,Company,location,weblink,Job ID
 .Net Developer ," Niit Technologies, Inc. "," Oaks, PA, USA",https://www.dice.com/jobs/detail/.net-developer-niit-technologies%2C-inc.-oaks-pa-19456/RTL036009/6108068?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6427296
 Senior .Net Developer , Techzen Inc ," Fremont, CA, USA",https://www.dice.com/jobs/detail/senior-.net-developer-techzen-inc-fremont-ca-94536/91094523/6427296?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6386353
 .Net Developer for the State of Georgia , nLeague Services ," Atlanta, GA, USA",https://www.dice.com/jobs/detail/.net-developer-for-the-state-of-georgia-nleague-services-atlanta-ga-30301/10112090/6386353?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : .Net_TX_CHL
" Urgent need of .Net Developer to my direct client at Irving, TX ", Excellerent Technology Solutions ," Irving, TX, USA",https://www.dice.com/jobs/detail/urgent-need-of-.net-developer-to-my-direct-client-at-irving%2C-tx-excellerent-technology-solutions-irving-tx-75014/10499511/%26%23372ENet_TX_CHL?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 2020-2094
" Sr .NET Developer, Brooklyn, NY ", Stellent IT LLC ," Brooklyn, NY, USA",https://www.dice.com/jobs/detail/sr-.net-developer%2C-brooklyn%2C-ny-stellent-it-llc-brooklyn-ny-11201/91022079/2020%26%23452094?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6239571
 .Net Developer , InfoPeople Corp ," New York, NY, USA",https://www.dice.com/jobs/detail/.net-developer-infopeople-corp-new-york-ny-10001/10186340/6239571?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6432562
 .Net Developer , Resource Consulting Services ," Union, NJ, USA",https://www.dice.com/jobs/detail/.net-developer-resource-consulting-services-union-nj-07083/91019203/6432562?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6431986
 .NET Developer with Finance domain , Kaizen Technologies ," New York, NY, USA",https://www.dice.com/jobs/detail/.net-developer-with-finance-domain-kaizen-technologies-new-york-ny-10001/10117326/6431986?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Originally Posted : 9 months ago
 .NET Developer ," Computer Enterprises, Inc. "," Lakeland, FL, USA",https://www.dice.com/jobs/detail/.net-developer-computer-enterprises%2C-inc.-lakeland-florida-33811/ceiam/6034096?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6427674
 .Net Developer , Speridian Technologies LLC ," Westchester, IL, USA",https://www.dice.com/jobs/detail/.net-developer-speridian-technologies-llc-westchester-il-60154/10116008/6427674?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D3%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=afc2568f-cfd4-4acb-9739-3046e9e4adb6,Position Id : 5958908
 Full Stack .net Developer , mBridge Solutions ," Houston, TX, USA",https://www.dice.com/jobs/detail/full-stack-.net-developer-mbridge-solutions-houston-texas/RTX1cfe74/5958908?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D3%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=afc2568f-cfd4-4acb-9739-3046e9e4adb6,Position Id : 6429860
" .NET Developer in Chatham, NJ - 2 ", Comtech Global ," Chatham, NJ, USA",https://www.dice.com/jobs/detail/.net-developer-in-chatham%2C-nj-%26%2345-2-comtech-global-chatham-nj-07928/10220770/6429860?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D3%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=afc2568f-cfd4-4acb-9739-3046e9e4adb6,Position Id : 6380876
 .Net developer , Euclid Innovations ," New York, NY, USA",https://www.dice.com/jobs/detail/.net-developer-euclid-innovations-new-york-ny-10001/10375704/6380876?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D3%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=afc2568f-cfd4-4acb-9739-3046e9e4adb6,Position Id : 179760
 .NET Developer ," MATRIX Resources, Inc. "," Atlanta, GA, USA",https://www.dice.com/jobs/detail/.net-developer-matrix-resources%2C-inc.-atlanta-ga-30301/matrixga/179760?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D3%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=afc2568f-cfd4-4acb-9739-3046e9e4adb6,Position Id : 2020-3911
 .net Developer - RI , Elite Workforce Inc ," Smithfield, RI, USA",https://www.dice.com/jobs/detail/.net-developer-%26%2345-ri-elite-workforce-inc-smithfield-ri-02917/91017726/2020%26%23453911?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D3%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=afc2568f-cfd4-4acb-9739-3046e9e4adb6,Position Id : 6515DCF68NET
 .NET Developer $63.hr , Genome International Corp ," Madison, WI, USA",https://www.dice.com/jobs/detail/.net-developer-%2463.hr-genome-international-corp-madison-wi-53701/genwi001/6515DCF68NET?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D3%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=afc2568f-cfd4-4acb-9739-3046e9e4adb6,Position Id : 6251160
 .Net Developer with Angular JS , Programmer Resources International Inc (PRI Inc.) ," Round Rock, TX, USA",https://www.dice.com/jobs/detail/.net-developer-with-angular-js-programmer-resources-international-inc-%28pri-inc.%29-round-rock-tx-78664/10289806/6251160?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D3%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=afc2568f-cfd4-4acb-9739-3046e9e4adb6,Position Id : JPC90-90
